matchid,ra,dec,filter,lightcurve_d,lightcurve_m,lightcurve_cm,lightcurve_e,lightcurve_i,lightcurve_r
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52611.26638278016,25.407801,25.4023624858617,0.052900001,hst_9453_02_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52611.57040482061,25.0867,25.07910966437235,0.0403,hst_9453_04_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52612.09501705086,25.120701,25.119242325934767,0.041900001,hst_9453_06_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52614.096183951246,25.253,25.253824783127854,0.047699999,hst_9453_08_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52614.7064349039,25.4039,25.40671489103681,0.052299999,hst_9453_10_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52615.44050916098,25.353399,25.356878937073308,0.0526,hst_9453_12_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52616.09770231927,25.261,25.264063289637335,0.047499999,hst_9453_14_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52616.44162601838,25.197001,25.2004714130637,0.044199999,hst_9453_16_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52618.30910287611,24.905199,24.907989059070406,0.034299999,hst_9453_20_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52619.10066546872,25.052,25.05281052087848,0.0396,hst_9453_22_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52619.445972142275,25.414101,25.41635610940115,0.054400001,hst_9453_24_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52620.101979002124,25.367701,25.37040644937168,0.052700002,hst_9453_26_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52620.44791084947,25.0187,25.019209407189447,0.037999999,hst_9453_28_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52621.10338529269,24.9727,24.97026072452244,0.036699999,hst_9453_30_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52622.31433366425,25.217699,25.240418308232737,0.047699999,hst_9453_32_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52623.42648621742,25.2946,25.29417627561831,0.048900001,hst_9453_34_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52623.80091418978,25.073,25.077843498128946,0.0407,hst_9453_36_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52624.6906249132,25.1462,25.14555842717573,0.041999999,hst_9453_18_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52626.490075099515,24.8169,24.820026461811118,0.045400001,hst_9453_61_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52631.39916067012,24.966801,24.965791957138833,0.036800001,hst_9453_38_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52632.266458246624,25.1716,25.17506873951352,0.0429,hst_9453_40_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52633.26711212052,25.3668,25.36957882437362,0.050799999,hst_9453_44_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52633.40053232969,24.9289,24.929718794146645,0.035399999,hst_9453_46_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52634.534542709356,25.296,25.29780057809714,0.048900001,hst_9453_48_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52636.535665495554,25.3444,25.34867465169749,0.051899999,hst_9453_50_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52639.632320828736,24.9067,24.907127633888535,0.034200002,hst_9453_42_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52644.20626751962,25.3859,25.386741185391116,0.051899999,hst_9453_54_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52644.339669304434,25.0674,25.06148505670546,0.041299999,hst_9453_52_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52646.140631039394,25.354799,25.350860450582495,0.051100001,hst_9453_56_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52646.27403380303,25.374701,25.377541952522026,0.052299999,hst_9453_57_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52646.407442505704,24.999001,25.003620345310782,0.037700001,hst_9453_58_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52648.34181157872,25.4345,25.434809714509754,0.054200001,hst_9453_60_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F814W,52650.40960101038,25.488199,25.49112826041771,0.057,hst_9453_59_acs_wfc_f814w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52610.161817079876,25.195101,25.194610885020445,0.028000001,hst_9453_01_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52611.43696170254,24.9569,24.949582840792328,0.023600001,hst_9453_03_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52611.703842436196,25.395599,25.386888549877014,0.032900002,hst_9453_05_acs_wfc_f606w,false
